Timestamp,Open,High,Low,Close,Volume,Open Interest,Heikin Ashi - Open,Heikin Ashi - High,Heikin Ashi - Low,Heikin Ashi - Close,Heikin Ashi - T Change,Heikin Ashi - T-1 Change,Heikin Ashi - T-2 Change,Heikin Ashi - T Change is Positive,Heikin Ashi - T-1 Change is Negative,Heikin Ashi - T-2 Change is Negative,Heikin Ashi - Buy Signal,Heikin Ashi - Candle Category - BEARISH,Heikin Ashi - Candle Category - BULLISH,Instrument Name
2024-08-16 00:00:00+05:30,1148.0,1162.0,1115.0,1147.0,1127601,0,1130.1000000000001,1162.0,1115.0,1143.0,12.9,-6.7,-14.05,True,True,True,True,False,False,BRIGADE
2024-08-16 00:00:00+05:30,5730.0,5742.0,5662.0,5741.0,144687,0,5680.150000000001,5742.0,5662.0,5718.75,38.6,-48.1,-69.65,True,True,True,True,False,False,BRITANNIA
2024-08-16 00:00:00+05:30,715.0,717.0,695.0,716.0,1581454,0,699.8000000000001,717.0,695.0,710.75,10.950000000000001,-1.0,-0.8,True,True,True,True,False,False,CGPOWER
2024-08-16 00:00:00+05:30,0.0,0.0,9999999999.0,0.0,0,0,0.0,0.0,9999999999.0,2499999999.75,2499999999.75,0.0,0.0,True,True,True,True,True,True,CHOLAFIN
2024-08-16 00:00:00+05:30,164.0,164.0,162.0,164.0,1253693,0,162.45000000000002,164.0,162.0,163.5,1.05,-2.35,-0.8,True,True,True,True,False,False,CUB
2024-08-16 00:00:00+05:30,6065.0,6089.0,5926.0,6065.0,407177,0,5873.900000000001,6089.0,5873.8892329332475,6036.25,162.35000000000002,-20.35,-25.6,True,True,True,True,False,False,COFORGE
2024-08-16 00:00:00+05:30,4309.0,4325.0,4160.0,4320.0,431884,0,4209.1,4325.0,4160.0,4278.5,69.4,-71.85000000000001,-91.15,True,True,True,True,False,False,CAMS
2024-08-16 00:00:00+05:30,978.0,981.0,954.0,977.0,1093369,0,966.0,981.0,954.0,972.5,6.5,-23.150000000000002,-14.350000000000001,True,True,True,True,False,False,CONCOR
2024-08-16 00:00:00+05:30,865.0,874.0,830.0,866.0,8801156,0,824.0500000000001,874.0,824.0736476092533,858.75,34.7,-11.850000000000001,-10.8,True,True,True,True,False,True,DLF
2024-08-16 00:00:00+05:30,617.0,618.0,604.0,617.0,1258338,0,613.3000000000001,618.0,604.0,614.0,0.7000000000000001,-15.200000000000001,-15.15,True,True,True,True,False,False,DABUR
2024-08-16 00:00:00+05:30,1752.0,1754.0,1726.0,1750.0,320178,0,1734.65,1754.0,1726.0,1745.5,10.850000000000001,-16.85,-17.900000000000002,True,True,True,True,False,False,DALBHARAT
2024-08-16 00:00:00+05:30,83.0,83.0,78.0,83.0,12235738,0,77.25,83.0,77.27290618262509,81.75,4.5,-0.65,-2.3000000000000003,True,True,True,True,False,True,EQUITASBNK
2024-08-16 00:00:00+05:30,480.0,484.0,476.0,481.0,117484,0,479.6,484.0,476.0,480.25,0.65,-17.2,-15.4,True,True,True,True,False,False,FDC
2024-08-16 00:00:00+05:30,1465.0,1508.0,1452.0,1465.0,173299,0,1462.8500000000001,1508.0,1452.0,1472.5,9.65,-7.65,-38.0,True,True,True,True,False,False,FINCABLES
2024-08-16 00:00:00+05:30,285.0,291.0,277.0,284.0,1371610,0,284.25,291.0,277.0,284.25,0.0,-8.200000000000001,-2.75,True,True,True,True,False,False,FINPIPE
